economy,year,dpi_adoption_v2,dpi_impact_v2,dpi_readiness_v2,dpi_composite_v2,dpi_utilization_efficiency,equity_score,inclusion_penalty,dpi_inclusion_adjusted_v2,risk_score,risk_factor,dpi_risk_adjusted_v2,expected_indicator_points_year,observed_indicator_points,imputed_indicator_points,coverage_ratio,imputation_share,dpi_confidence_score,confidence_tier
Argentina,2014,,4.918841987093116,0.2695417789757412,0.6179871665882624,,,0.0,0.6179871665882624,0.2695417789757412,0.7008086253369272,0.4330907366925828,10,5,0.0,0.5,0.0,64.99999999999999,Medium
Argentina,2015,,4.943035501745511,0.4620716211012707,0.909474576034552,,,0.0,0.909474576034552,0.4620716211012707,0.7013862148633038,0.6378929303992824,46,5,0.0,0.10869565217391304,0.0,37.608695652173914,Low
Argentina,2016,,4.539467418009668,0.7829546913104866,1.2936395361459745,,,0.0,1.2936395361459745,0.7829546913104866,0.7023488640739314,0.9085862587332527,46,5,0.0,0.10869565217391304,0.0,37.608695652173914,Low
Argentina,2017,,5.149274997137168,0.975484533436016,1.5691205191784219,,,0.0,1.5691205191784219,0.975484533436016,0.702926453600308,1.102976321817562,46,5,0.0,0.10869565217391304,0.0,37.608695652173914,Low
Argentina,2018,,5.331133104429277,1.4888974457707613,2.143569495078439,,,0.0,2.143569495078439,1.4888974457707613,0.7044666923373123,1.5100733119930705,47,5,0.0,0.10638297872340426,0.0,37.4468085106383,Low
Argentina,2019,,5.117481340342598,0.6546014632268001,1.1779923901287428,,,0.0,1.1779923901287428,0.6546014632268001,0.7019638043896803,0.8269080197168648,47,5,0.0,0.10638297872340426,0.0,37.4468085106383,Low
Argentina,2020,57.697125422156404,1.2037259832941105,42.94129363380262,22.955636640751088,134.36280218800454,,0.0,22.955636640751088,44.55227176519617,0.8336568152955884,19.137122935011273,51,9,0.0,0.17647058823529413,0.0,42.35294117647059,Low
Argentina,2021,,1.1454497255641927,1.4888974457707613,1.3814180977862107,,,0.0,1.3814180977862107,1.4888974457707613,0.7044666923373123,0.9731630380823537,45,4,0.0,0.08888888888888889,0.0,36.22222222222222,Low
Argentina,2022,64.12554444580692,3.2846155901812573,21.533325589472422,20.509816895489944,200.0,,0.0,20.509816895489944,33.14947278033084,0.7994484183409925,16.3965406775628,45,9,0.0,0.2,0.0,43.99999999999999,Low
Argentina,2023,,4.306126744504759,0.975484533436016,1.4909666754675404,,,0.0,1.4909666754675404,0.975484533436016,0.702926453600308,1.0480399176226396,39,4,0.0,0.10256410256410256,0.0,37.17948717948718,Low
Argentina,2024,,4.534261399987527,0.590424849184957,1.0571082529022586,,,0.0,1.0571082529022586,0.590424849184957,0.7017712745475548,0.741848205973957,20,4,0.0,0.2,0.0,43.99999999999999,Low
Argentina,2025,63.14799551976491,,34.63928939011994,43.38758198818664,182.30164830626236,,0.0,43.38758198818664,43.67018798520645,0.8310105639556193,36.05553897667365,8,5,0.0,0.625,0.0,73.75,Medium
Australia,2014,,31.460860553345512,42.24104736234117,38.8305473353827,,,0.0,38.8305473353827,42.24104736234117,0.8267231420870235,32.10211210206648,10,5,0.0,0.5,0.0,64.99999999999999,Medium
Australia,2015,,29.68027281697755,32.10114234372995,31.38998971800297,,,0.0,31.38998971800297,32.10114234372995,0.7963034270311898,24.995956386919577,46,5,0.0,0.10869565217391304,0.0,37.608695652173914,Low
Australia,2016,,29.46883461347448,37.620331151328465,35.08486874806285,,,0.0,35.08486874806285,37.620331151328465,0.8128609934539853,28.519121265753054,46,5,0.0,0.10869565217391304,0.0,37.608695652173914,Low
Australia,2017,,32.552868250870915,40.05904248491851,37.75326161110009,,,0.0,37.75326161110009,40.05904248491851,0.8201771274547555,30.964361660239966,46,5,0.0,0.10869565217391304,0.0,37.608695652173914,Low
Australia,2018,,33.465329145661855,37.55615453728662,36.338820523755786,,,0.0,36.338820523755786,37.55615453728662,0.8126684636118598,29.531413444507734,47,5,0.0,0.10638297872340426,0.0,37.4468085106383,Low
Australia,2019,,33.258268063106065,36.72185855474266,35.69700577033572,,,0.0,35.69700577033572,36.72185855474266,0.810165575664228,28.92048522941331,47,5,0.0,0.10638297872340426,0.0,37.4468085106383,Low
