state_name,year,ECO_prop_hh_microfin,OUT_hh_income_monthly,OUT_prop_saving,ACC_pop_hh_elec,SKL_fem_literacy,SRV_pop_hh_sf,AGR_fem_15_24_hyg_period,NAT_upi_total_vol,NAT_upi_total_val,NAT_upi_p2p_vol,NAT_upi_p2m_vol,NAT_ib_no_of_transactions,NAT_ib_amt_of_transactions,NAT_ib_active_users,AGR_shg_member_scale,Z_ACC_pop_hh_elec,Z_SKL_fem_literacy,Z_SRV_pop_hh_sf,Z_AGR_fem_15_24_hyg_period,Z_AGR_shg_member_scale,Z_ECO_prop_hh_microfin,Z_OUT_hh_income_monthly,Z_OUT_prop_saving,ACC_score,SKL_score,SRV_score,AGR_score,ECO_score,OUT_score,DCLO_score,CTX_dpi_composite_v2,CTX_dpi_confidence_score,CTX_coverage_ratio,CTX_imputation_share,Z_CTX_dpi_composite_v2,DCLO_score_context_adjusted
Jammu And Kashmir,2014,,,,96.23,0.0,50.945,62.825,,,,,,,,629974.0,0.139197305533536,-1.0130918905549062,-0.8040118850371025,-0.6519936326522,-0.668957335187257,,,,0.139197305533536,-1.0130918905549062,-0.8040118850371025,-0.6604754839197284,,,-0.5845954884945503,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.6549180904349969
Jharkhand,2014,,,,78.02916666666667,0.0,22.275000000000002,47.00416666666666,,,,,,,,3135384.0,-2.4490936606910316,-1.0130918905549062,-2.2975977366723326,-1.546142175300749,0.07430150614159481,,,,-2.4490936606910316,-1.0130918905549062,-2.2975977366723326,-0.7359203345795771,,,-1.623925905624462,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-1.6942485075649085
Karnataka,2014,,,,97.91333333333334,0.0,54.44666666666667,68.19666666666667,,,,,,,,2726564.0,0.378579556885289,-1.0130918905549062,-0.6215898483968499,-0.3484022970760848,-0.046979673191153606,,,,0.378579556885289,-1.0130918905549062,-0.6215898483968499,-0.19769098513361918,,,-0.3634482918000216,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.43377089374046823
Kerala,2014,,,,99.07857142857142,0.0,97.82857142857142,89.89285714285714,,,,,,,,3270313.0,0.5442848946668254,-1.0130918905549062,1.6384240744970446,0.8778047355482623,0.11432975389412259,,,,0.5442848946668254,-1.0130918905549062,1.6384240744970446,0.49606724472119246,,,0.4164210808325391,3.8577679934065,72.0,0.6,0,-0.4688173462696442,0.34609847889209244
Ladakh,2014,,,,98.69999999999999,0.0,17.85,67.85,,,,,,,,,0.4904492822694716,-1.0130918905549062,-2.528121538328625,-0.3679949119689902,,,,,0.4904492822694716,-1.0130918905549062,-2.528121538328625,-0.3679949119689902,,,-0.8546897646457624,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.925012366586209
Madhya Pradesh,2014,,,,89.63541666666667,0.0,31.391666666666666,34.487500000000004,,,,,,,,5061813.0,-0.798600440046708,-1.0130918905549062,-1.8226579268569214,-2.253548607251299,0.6457989402710581,,,,-0.798600440046708,-1.0130918905549062,-1.8226579268569214,-0.8038748334901205,,,-1.109556272737164,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-1.1798788746776105
Maharashtra,2014,,,,93.23636363636365,0.0,50.233333333333334,61.29090909090909,,,,,,,,5688225.0,-0.28651957315304477,-1.0130918905549062,-0.8410867111415231,-0.7386960914767896,0.8316313019661454,,,,-0.28651957315304477,-1.0130918905549062,-0.8410867111415231,0.04646760524467791,,,-0.5235576424011991,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.5938802443416457
Manipur,2014,,,,91.12222222222222,0.0,56.05555555555556,75.54444444444444,,,,,,,,81220.0,-0.5871658690301653,-1.0130918905549062,-0.5377735358297916,0.066873223073847,-0.8317515533849064,,,,-0.5871658690301653,-1.0130918905549062,-0.5377735358297916,-0.38243916515552967,,,-0.6301176151425982,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.7004402170830448
Meghalaya,2014,,,,93.89999999999999,0.0,70.8,65.60000000000001,,,,,,,,387717.0,-0.1921456522780994,-1.0130918905549062,0.23034971538903956,-0.4951585182450537,-0.7408256749495329,,,,-0.1921456522780994,-1.0130918905549062,0.23034971538903956,-0.6179920965972933,,,-0.3982199810103148,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.46854258295076145
Mizoram,2014,,,,94.7625,0.0,81.4625,91.7125,,,,,,,,70608.0,-0.06949187497658106,-1.0130918905549062,0.7858209097755291,0.9806457790366038,-0.8348997258693228,,,,-0.06949187497658106,-1.0130918905549062,0.7858209097755291,0.07287302658364048,,,-0.05597245729307945,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.12629505923352607
